"Effect","Estimate","SE","z-value","p-value"
"Intercept(coastal water)",11.6667,0.6299,0.63,"<0.0001"
"Ecotype(inland)",0.3936,0.8954,0.895,"0.6602"
"Treatment(salt)",-2.3439,0.4246,0.425,"<0.0001"
"Treatment(salt):Ecotype(inland)",-0.5915,0.6059,0.606,"0.3289"
