"Effect","Estimate","SE","z-value","p-value"
"Intercept(coastal water)",49.8995,5.4432,5.443,"<0.0001"
"Ecotype(inland)",-23.4948,7.7125,7.713,"0.0023"
"Treatment(salt)",4.7045,2.798,2.798,"0.0927"
"Treatment(salt):Ecotype(inland)",14.811,3.998,3.998,"2e-04"
