"Effect","Estimate","SE","z-value","p-value"
"Intercept(coastal water)",0.0336,0.0014,0.001,"<0.0001"
"Ecotype(inland)",-0.0076,0.002,0.002,"1e-04"
"Treatment(salt)",-0.0046,0.0011,0.001,"<0.0001"
"Treatment(salt):Ecotype(inland)",-0.0044,0.0016,0.002,"0.0053"
