"Effect","Estimate","SE","z-value","p-value"
"Intercept(coastal water)",0.009,0.0264,"0.339630068777895","0.7341"
"Ecotype(inland)",-0.001,0.0373,"-0.0264139575030927","0.9789"
"Treatment(salt)",0.1521,0.0368,"4.13229332134218","<0.0001"
"Treatment(salt):Ecotype(inland)",0.2917,0.0521,"5.60307418286989","<0.0001"
