"pop_code","amphistomy","stomate_size_ab","stomate_size_ad","stom_density_ad","stom_density_ab","stom_ad_fraction","stom_ab_fraction"
"BHE",0.963404612761595,23.7598266666667,22.4299266666667,141.143559530369,150.279979466603,0.0353765927507286,0.0421909967278922
"HEC",1.59749647535571,22.8069666666667,22.4727133333333,309.390261706627,197.987161917141,0.0776363401249701,0.0507309855558957
"LMC",1.46834053771482,23.2773066666667,23.1017,134.361887000381,118.608626852598,0.0347406316685941,0.0314764324874694
"OAE",1.36077826198369,21.9045545454545,22.6155727272727,193.223079778414,145.908712008826,0.0478959946477567,0.0335019724483638
"OPB",1.56558318994909,22.55428,23.8271933333333,257.915483406095,170.154047575317,0.0708854447419339,0.0441825715960267
"PGR",1.03128751975742,21.7709380952381,20.6762285714286,258.639568233516,281.560511289668,0.0549041177330393,0.0630445032059536
"RGR",1.25280844017067,21.5806875,21.14100625,127.995238700745,104.219648483307,0.0277710757149065,0.0237158846903994
"SWB",1.11436849112844,22.8594357142857,22.4838571428571,177.741380110727,171.080808875918,0.0450416629854797,0.0431398744917804
"SWC",0.872934675502152,24.3101866666667,26.1606066666667,128.639850803204,154.56561974597,0.0444416627559375,0.0453368686384542
"TOR",0.986231466112644,25.7105925925926,23.84896,123.741976198213,132.52518402351,0.0355155463213908,0.0425168025739875
