file_name ,stomata_count,,,,,,,
HEC_7_ab_2,,,,,,,,
HEC_7_ab_3,,,,,,,,
HEC_7_ad_1,,,,,,,,
HEC_7_ad_2,,,,,,,,
HEC_7_ad_3,,,,,,,,
HEC_8_ab_1,,,,,,,,
HEC_8_ab_2,,,,,,,,
HEC_8_ab_3,,,,,,,,
HEC_8_ad_1,,,,,,,,
HEC_8_ad_2,,,,,,,,
HEC_8_ad_3,,,,,,,,
HEC_9_ab_1,,,,,,,,
HEC_9_ab_2,,,,,,,,
HEC_9_ab_3,,,,,,,,
HEC_9_ad_1,,,,,,,,
HEC_9_ad_2,,,,,,,,
HEC_9_ad_3,,,,,,,,
LMC_1_ab_1,,,,,,,,
LMC_1_ab_2,,,,,,,,
LMC_1_ab_3,,,,,,,,
LMC_1_ad_1,,,,,,,,
LMC_1_ad_2,,,,,,,,
LMC_1_ad_3,,,,,,,,
LMC_10_ab_1,,,,,,,,
LMC_10_ab_2,,,,,,,,
LMC_10_ab_3,,,,,,,,
LMC_10_ad_1,,,,,,,,
LMC_10_ad_2,,,,,,,,
LMC_10_ad_3,,,,,,,,
LMC_11_ab_1,,,,,,,,
LMC_11_ab_2,,,,,,,,
LMC_11_ab_3,,,,,,,,
LMC_11_ad_1,,,,,,,,
LMC_11_ad_2,,,,,,,,
LMC_11_ad_3,,,,,,,,
LMC_12_ab_1,,,,,,,,
LMC_12_ab_2,,,,,,,,
LMC_12_ab_3,,,,,,,,
LMC_12_ad_1,,,,,,,,
LMC_12_ad_2,,,,,,,,
LMC_12_ad_3,,,,,,,,
LMC_13_ab_1,,,,,,,,
LMC_13_ab_2,,,,,,,,
LMC_13_ab_3,,,,,,,,
LMC_13_ad_1,,,,,,,,
LMC_13_ad_2,,,,,,,,
LMC_13_ad_3,,,,,,,,
LMC_14_ab_1,,,,,,,,
LMC_14_ab_2,,,,,,,,
LMC_14_ab_3,,,,,,,,
LMC_14_ad_1,,,,,,,,
LMC_14_ad_2,,,,,,,,
LMC_14_ad_3,,,,,,,,
LMC_15_ab_1,,,,,,,,
LMC_15_ab_2,,,,,,,,
LMC_15_ab_3,,,,,,,,
LMC_15_ad_1,,,,,,,,
LMC_15_ad_2,,,,,,,,
LMC_15_ad_3,,,,,,,,
LMC_2_ab_1,,,,,,,,
LMC_2_ab_2,,,,,,,,
LMC_2_ab_3,,,,,,,,
LMC_2_ad_1,,,,,,,,
LMC_2_ad_2,,,,,,,,
LMC_2_ad_3,,,,,,,,
LMC_3_ab_1,,,,,,,,
LMC_3_ab_2,,,,,,,,
LMC_3_ab_3,,,,,,,,
LMC_3_ad_1,,,,,,,,
LMC_3_ad_2,,,,,,,,
LMC_3_ad_3,,,,,,,,
LMC_4_ab_1,,,,,,,,
LMC_4_ab_2,,,,,,,,
LMC_4_ab_3,,,,,,,,
LMC_4_ad_1,,,,,,,,
LMC_4_ad_2,,,,,,,,
LMC_4_ad_3,,,,,,,,
LMC_5_ab_1,,,,,,,,
LMC_5_ab_2,,,,,,,,
LMC_5_ab_3,,,,,,,,
LMC_5_ad_1,,,,,,,,
LMC_5_ad_2,,,,,,,,
LMC_5_ad_3,,,,,,,,
LMC_6_ab_1,,,,,,,,
LMC_6_ab_2,,,,,,,,
LMC_6_ab_3,,,,,,,,
LMC_6_ad_1,,,,,,,,
LMC_6_ad_2,,,,,,,,
LMC_6_ad_3,,,,,,,,
LMC_7_ab_1,,,,,,,,
LMC_7_ab_2,,,,,,,,
LMC_7_ab_3,,,,,,,,
LMC_7_ad_1,,,,,,,,
LMC_7_ad_2,,,,,,,,
LMC_7_ad_3,,,,,,,,
LMC_8_ab_1,,,,,,,,
LMC_8_ab_2,,,,,,,,
LMC_8_ab_3,,,,,,,,
LMC_8_ad_1,,,,,,,,
LMC_8_ad_2,,,,,,,,
LMC_8_ad_3,,,,,,,,
LMC_9_ab_1,,,,,,,,
LMC_9_ab_2,,,,,,,,
LMC_9_ab_3,,,,,,,,
LMC_9_ad_1,,,,,,,,
LMC_9_ad_2,,,,,,,,
LMC_9_ad_3,,,,,,,,
OAE_1_ab_1,,,,,,,,
OAE_1_ab_2,,,,,,,,
OAE_1_ab_3,,,,,,,,
OAE_1_ad_1,,,,,,,,
OAE_1_ad_2,,,,,,,,
OAE_1_ad_3,,,,,,,,
OAE_10_ab_1,119,,,,,,,
OAE_10_ab_2,100,,,,,,,
OAE_10_ab_3,79,,,,,,,
OAE_10_ad_1,272,,,,,,,
OAE_10_ad_2,230,,,,,,,
OAE_10_ad_3,201,,,,,,,
OAE_11_ab_1,181,,,,,,,
OAE_11_ab_2,152,,,,,,,
OAE_11_ab_3,129,,,,,,,
OAE_11_ad_1,248,,,,,,,
OAE_11_ad_2,192,,,,,,,
OAE_11_ad_3,188,,,,,,,
OAE_12_ab_1,100,,,,,,,
OAE_12_ab_2,66,,,,,,,
OAE_12_ab_3,87,,,,,,,
OAE_12_ad_1,112,,,,,,,
OAE_12_ad_2,110,,,,,,,
OAE_12_ad_3,106,,,,,,,
OAE_13_ab_1,134,,,,,,,
OAE_13_ab_2,176,,,,,,,
OAE_13_ab_3,165,,,,,,,
OAE_13_ad_1,251,,,,,,,
OAE_13_ad_2,221,,,,,,,
OAE_13_ad_3,210,,,,,,,
OAE_14_ab_1,151,,,,,,,
OAE_14_ab_2,147,,,,,,,
OAE_14_ab_3,146,,,,,,,
OAE_14_ad_1,188,,,,,,,
OAE_14_ad_2,188,,,,,,,
OAE_14_ad_3,192,,,,,,,
OAE_2_ab_1,,,,,,,,
OAE_2_ab_2,,,,,,,,
OAE_2_ab_3,,,,,,,,
OAE_2_ad_1,,,,,,,,
OAE_2_ad_2,,,,,,,,
OAE_2_ad_3,,,,,,,,
OAE_3_ab_1,,,,,,,,
OAE_3_ab_2,,,,,,,,
OAE_3_ab_3,,,,,,,,
OAE_3_ad_1,,,,,,,,
OAE_3_ad_2,,,,,,,,
OAE_3_ad_3,,,,,,,,
OAE_4_ab_1,,,,,,,,
OAE_4_ab_2,,,,,,,,
OAE_4_ab_3,,,,,,,,
OAE_4_ad_1,,,,,,,,
OAE_4_ad_2,,,,,,,,
OAE_4_ad_3,,,,,,,,
OAE_5_ab_1,,,,,,,,
OAE_5_ab_2,,,,,,,,
OAE_5_ab_3,,,,,,,,
OAE_5_ad_1,,,,,,,,
OAE_5_ad_2,,,,,,,,
OAE_5_ad_3,,,,,,,,
OAE_6_ab_1,,,,,,,,
OAE_6_ab_2,,,,,,,,
OAE_6_ab_3,,,,,,,,
OAE_6_ad_1,,,,,,,,
OAE_6_ad_2,,,,,,,,
OAE_6_ad_3,,,,,,,,
OAE_7_ab_1,,,,,,,,
OAE_7_ab_2,,,,,,,,
OAE_7_ab_3,,,,,,,,
OAE_7_ad_1,,,,,,,,
OAE_7_ad_2,,,,,,,,
OAE_7_ad_3,,,,,,,,
