Leaf ID,Estimated start of necrosis,Full Necrosis,Notes,Notes,Disc
HEC Control Plate 5,18-Apr,23-Apr,,,2
HEC Salt Plate 1,16-Apr,20-Apr,,,2
HEC Salt Plate 2,18-Apr,21-Apr,,,2
HEC Salt Plate 3,18-Apr,20-Apr,,,2
HEC Salt Plate 4,16-Apr,23-Apr,,,2
HEC Salt Plate 5,17-Apr,20-Apr,,,2
LMC Control Plate 1,21-Apr,25-Apr,,,2
LMC Control Plate 2,18-Apr,19-Apr,,,2
LMC Control Plate 3,,,,,2
LMC Control Plate 4,,,,,2
LMC Control Plate 5,18-Apr,22-Apr,,,2
LMC Salt Plate 1,14-Apr,18-Apr,,,2
LMC Salt Plate 2,15-Apr,18-Apr,,,2
LMC Salt Plate 3,14-Apr,19-Apr,,,2
LMC Salt Plate 4,15-Apr,19-Apr,,,2
LMC Salt Plate 5,n/a,n/a,,,2
OAE Control Plate 1,18-Apr,20-Apr,,,2
OAE Control Plate 2,20-Apr,23-Apr,,,2
OAE Control Plate 3,,,,,2
OAE Control Plate 4,,,,,2
OAE Control Plate 5,18-Apr,20-Apr,,,2
OAE Salt Plate 1,15-Apr,18-Apr,,,2
OAE Salt Plate 2,16-Apr,19-Apr,,,2
OAE Salt Plate 3,15-Apr,18-Apr,,,2
OAE Salt Plate 4,16-Apr,19-Apr,,,2
OAE Salt Plate 5,15-Apr,18-Apr,,,2
OPB Control Plate 1,18-Apr,23-Apr,,,2
OPB Control Plate 2,16-Apr,21-Apr,,,2
OPB Control Plate 3,,,,,2
OPB Control Plate 4,,,,,2
OPB Control Plate 5,17-Apr,23-Apr,,,2
OPB Salt Plate 1,15-Apr,17-Apr,,,2
OPB Salt Plate 2,16-Apr,18-Apr,,,2
OPB Salt Plate 3,16-Apr,20-Apr,,,2
OPB Salt Plate 4,15-Apr,22-Apr,,,2
OPB Salt Plate 5,16-Apr,22-Apr,,,2
PGR Control Plate 1,17-Apr,19-Apr,,,2
PGR Control Plate 2,18-Apr,23-Apr,,,2
PGR Control Plate 3,,,,,2
PGR Control Plate 4,,,,,2
PGR Control Plate 5,17-Apr,19-Apr,,,2
