file_name,stomate_rep,stomate_length_um,notes
,2,24.3,
,3,24.633,
,4,23.121,
,5,25.805,
,6,27.704,
,7,26.028,
,8,25.213,
,9,25.366,
,10,26.548,
HEC_12_ab_1,1,23.523,
,2,23.42,
,3,21.845,
,4,25.355,
,5,20.038,
,6,25.712,
,7,20.084,
,8,20.816,
,9,24.328,
,10,24.771,
HEC_12_ad_1,1,24.868,
,2,23,
,3,25.953,
,4,25.082,
,5,24.694,
,6,22.577,
,7,26.915,
,8,26,
,9,23.272,
,10,24.279,
HEC_13_ab_1,1,24.242,
,2,23.778,
,3,23.297,
,4,19.466,
,5,22.488,
,6,23.248,
,7,21.094,
,8,24.175,
,9,20.596,
,10,22.886,
HEC_13_ad_1,1,23.878,
,2,24.366,
,3,19.957,
,4,22.488,
,5,22.589,
,6,23.139,
,7,21.155,
,8,22.169,
,9,21.554,
,10,19.474,
HEC_14_ab_1,1,25.244,
,2,22.334,
,3,24.522,
,4,29.034,
,5,28.246,
,6,25.234,
,7,23.832,
,8,22.553,
,9,25.42,
,10,24.454,
HEC_14_ad_1,1,26.804,
,2,27.115,
,3,28.075,
,4,27.719,
,5,27.752,
,6,28.489,
,7,26.565,
,8,26.213,
,9,26.002,
,10,23.499,
HEC_15_ab_1,1,20.427,
,2,21.552,
,3,23.004,
,4,22.506,
,5,21.83,
,6,24.982,
,7,20.87,
,8,22.28,
,9,24.974,
,10,19.737,
HEC_15_ad_1,1,24.466,very blurry
,2,17.409,
,3,20.471,
,4,25.245,
,5,23.585,
,6,22.233,
,7,24.328,
,8,28.496,
,9,20.957,
,10,19.613,
HEC_2_ab_1,1,21.439,
,2,23.236,
,3,23.282,
,4,23.766,
,5,25.507,
,6,24.635,
,7,23.408,
,8,23.531,
,9,21.052,
,10,21.836,
HEC_2_ad_1,1,20.913,
,2,22.879,
,3,22.736,
,4,19.796,
,5,21.856,
,6,20.666,
,7,25.947,
,8,20.785,
,9,25.237,
,10,18.527,
HEC_3_ab_1,1,24.138,
,2,26.272,
,3,26.193,
,4,24.471,
,5,25.515,
,6,22.303,
,7,22.446,
,8,22.244,
,9,21.359,
,10,25.772,
HEC_3_ad_1,1,24.535,
,2,22.273,
,3,24.429,
,4,23.675,
,5,27.032,
,6,26.815,
,7,21.665,
,8,25.552,
,9,26.349,
,10,21.491,
HEC_4_ab_1,1,22.612,
,2,21.73,
,3,22.055,
,4,18.695,
,5,18.976,
,6,21.922,
,7,19.32,
,8,20.939,
,9,22.011,
,10,19.233,
HEC_4_ad_1,1,18.91,
,2,20.383,
,3,24.025,
,4,21.571,
,5,23.649,
,6,22.676,
,7,23.978,
,8,22.756,
,9,25.739,
,10,20.524,
HEC_5_ab_1,1,21.028,
,2,26.395,
,3,18.485,
,4,22.749,
,5,18.564,
,6,21.374,
,7,20.471,
,8,25.523,
,9,25.193,
,10,20.694,
HEC_5_ad_1,1,24.955,
,2,24.579,
,3,22.848,
,4,26.879,
,5,26.349,
,6,24.3,
,7,25.224,
,8,25.575,
,9,29.608,
,10,22.133,
HEC_6_ab_1,1,28.9,
,2,26.732,
,3,23.176,
,4,27.101,
,5,26.028,
,6,25.628,
,7,28.169,
,8,28.213,
,9,26.142,
,10,22.634,
HEC_6_ad_1,1,17.74,
,2,16.085,
,3,19.535,
,4,19.117,
,5,23.079,
,6,22.621,
,7,21.461,
,8,19.117,
,9,19.119,
,10,23.491,
HEC_7_ab_1,1,19.303,
,2,21.157,
,3,19.328,
,4,18.602,
,5,20.087,
,6,21.567,
,7,23.262,
,8,21.708,
,9,23.205,
,10,20.886,
HEC_7_ad_1,1,23.835,
,2,22.281,
,3,20.085,
,4,23.213,
,5,22.804,
,6,20.307,
,7,23.452,
,8,25.223,
,9,22.831,
,10,22.951,
HEC_8_ab_1,1,22.17,
,2,21.376,
,3,19.71,
,4,21.102,
,5,22.086,
,6,23.344,
,7,23.96,
,8,23.331,
,9,19.449,
,10,22.954,
HEC_8_ad_1,1,25.051,
,2,17.151,
,3,24.73,
,4,21.987,
,5,21.2,
,6,19.788,
,7,24.12,
,8,21.7,
,9,22.922,
,10,17.631,
HEC_9_ab_1,1,19.67,
,2,18.488,
,3,15.252,
,4,21.23,
,5,21.755,
,6,20.535,
,7,20.403,
,8,20.025,
,9,20.719,
,10,18.53,
HEC_9_ad_1,1,13.321,
,2,13.732,
,3,13.362,
,4,10.453,
,5,13.715,
,6,12.499,
,7,13.554,
,8,12.345,
,9,13.694,
,10,13.25,
LMC_1_ab_1,1,22.948,
,2,25.279,
,3,25.141,
,4,23.226,
,5,26.379,
,6,26.679,
,7,24.65,
,8,25.044,
,9,24.734,
,10,22.313,
LMC_1_ad_1,1,21.52,
,2,17.431,
,3,17.951,
,4,17.851,
,5,21.336,
,6,21.648,
,7,21.4,
,8,21.221,
,9,20.307,
,10,25.985,
LMC_10_ab_1,1,24.685,
,2,22.138,
,3,25.348,
,4,20.776,
,5,22.509,
,6,24.298,
,7,23.48,
,8,22.03,
,9,23.431,
,10,21.738,
LMC_10_ad_1,1,19.608,
,2,29.132,
,3,25.386,
,4,22.611,
,5,20.853,
,6,22.064,
,7,17.423,
,8,25.321,
,9,26.242,
,10,21.836,
LMC_11_ab_2,1,21.855,
,2,17.233,
,3,17.456,
,4,15.788,
,5,20.49,
,6,15.034,
,7,20.691,
,8,19.064,
,9,16.144,
,10,17.081,
LMC_11_ad_1,1,19.374,
,2,20.309,
,3,20.941,
,4,19.892,
,5,19.905,
,6,17.364,
,7,18.573,
,8,15.761,
,9,18.94,
,10,19.097,
LMC_12_ab_1,1,24.817,
,2,26.877,
,3,27.471,
,4,26.118,
,5,25.864,
,6,25.277,
,7,23.174,
,8,26.775,
,9,23.388,
,10,22.225,
LMC_12_ad_1,1,25.645,
,2,25.234,
,3,27.03,
,4,24.137,
,5,26.355,
,6,26.439,
,7,29.073,
,8,26.323,
,9,23.531,
,10,26.279,
LMC_13_ab_1,1,23.735,
,2,25.677,
,3,24.586,
,4,26.827,
,5,23.131,
,6,24.423,
,7,26.593,
,8,25.62,
,9,26.567,
,10,26.899,
LMC_13_ad_1,1,23.024,
,2,25.789,
,3,19.93,
,4,20.729,
,5,19.235,
,6,22.579,
,7,24.981,
,8,21.439,
,9,24.531,
,10,24.469,
LMC_14_ab_2,1,19.354,no ab1
,2,17.988,
,3,20.751,
,4,22.456,
,5,19.911,
,6,19.622,
,7,19.313,
,8,19.249,
,9,20.724,
,10,25.32,
LMC_14_ad_1,1,17.901,
,2,17.75,
,3,19.685,
,4,20.01,
,5,20.931,
,6,21.177,
,7,18.535,
,8,20.708,
,9,18.224,
,10,17.901,
LMC_15_ab_1,1,22.726,
,2,30.888,
,3,27.221,
,4,24.494,
,5,24.718,
,6,29.433,
,7,27.112,
,8,27.812,
,9,28.365,
,10,25.75,
LMC_15_ad_1,1,26.277,
,2,26.437,
,3,26.97,
,4,25.605,
,5,25.307,
,6,23.751,
,7,28.434,
,8,27.963,
,9,26.691,
,10,27.107,
LMC_2_ab_1,1,24.15,very poor quality image 
,2,25.446,
,3,24.299,
,4,22.533,
,5,26.62,
,6,23.708,
,7,25.45,
,8,24.158,
,9,20.804,
,10,21.885,
LMC_2_ad_1,1,23,
,2,21.753,
,3,24.392,
,4,22.666,
,5,22.996,
,6,20.436,
,7,23.856,
,8,26.857,
,9,25.951,
,10,24.841,
LMC_3_ab_1,1,23.973,
,2,24.068,
,3,26.588,
,4,24.457,
,5,24.16,
,6,22.71,
,7,22.808,
,8,24.191,
,9,25.269,
,10,21.846,
LMC_3_ad_1,1,24.111,
,2,27.803,
,3,29.645,
,4,26.629,
,5,25.612,
,6,24.344,
,7,24.557,
,8,25.443,
,9,27.635,
,10,26.332,
LMC_4_ab_1,1,23.547,
,2,21.668,
,3,20.421,
,4,26.454,
,5,20.056,
,6,21.864,
,7,19.142,
,8,25.981,
,9,21.024,
,10,23.164,
LMC_4_ad_1,1,23.336,
,2,22.668,
,3,22.318,
,4,24.45,
,5,26.446,
,6,24.216,
,7,23.11,
,8,22.856,
,9,22.202,
,10,21.519,
LMC_5_ab_1,1,20.712,
,2,18.385,
,3,20.102,
,4,21.098,
,5,22.329,
,6,20.102,
,7,17.612,
,8,15.127,
,9,23.817,
,10,23.717,
LMC_5_ad_1,1,20.471,
,2,24.925,
,3,22.04,
,4,23.086,
,5,21,
,6,22.258,
,7,22.72,
,8,21.077,
,9,23.974,
,10,18.998,
LMC_6_ab_1,1,22.971,
,2,26.459,
,3,22.723,
,4,25.089,
,5,24.053,
