pop.code,rep,leaf_side,filename
HEC,10,ad.file,DSC_0597
HEC,10,ab.file,DSC_0599
BHE,3,ab.file,DSC_0600
BHE,3,ad.file,DSC_0601
BHE,10,ad.file,DSC_0603
BHE,10,ab.file,DSC_0605
OPB,13,ad.file,DSC_0606
OPB,13,ab.file,DSC_0607
HEC,4,ad.file,DSC_0608
HEC,4,ab.file,DSC_0610
HEC,6,ad.file,DSC_0611
HEC,6,ab.file,DSC_0612
OPB,5,ad.file,DSC_0613
OPB,5,ab.file,DSC_0614
OPB,15,ad.file,DSC_0615
OPB,15,ab.file,DSC_0616
OPB,2,ad.file,DSC_0617
OPB,2,ab.file,DSC_0618
HEC,11,ad.file,DSC_0619
HEC,11,ab.file,DSC_0620
HEC,9,ad.file,DSC_0622
HEC,9,ab.file,DSC_0623
HEC,7,ad.file,DSC_0625
HEC,7,ab.file,DSC_0627
HEC,13,ad.file,DSC_0628
HEC,13,ab.file,DSC_0629
HEC,12,ad.file,DSC_0631
HEC,12,ab.file,DSC_0632
SWB,5,ad.file,DSC_0634
SWB,5,ab.file,DSC_0635
SWB,9,ad.file,DSC_0639
SWB,9,ab.file,DSC_0640
OPB,1,ad.file,DSC_0641
OPB,1,ab.file,DSC_0642
OPB,7,ad.file,DSC_0643
OPB,7,ab.file,DSC_0644
SWB,8,ad.file,DSC_0646
SWB,8,ab.file,DSC_0648
SWB,2,ad.file,DSC_0650
SWB,2,ab.file,DSC_0653
HEC,14,ad.file,DSC_0655
HEC,14,ab.file,DSC_0656
OPB,9,ad.file,DSC_0660
OPB,9,ab.file,DSC_0661
OPB,8,ad.file,DSC_0662
OPB,8,ab.file,DSC_0664
OPB,12,ad.file,DSC_0666
OPB,12,ab.file,DSC_0668
OPB,14,ad.file,DSC_0669
OPB,14,ab.file,DSC_0673
SWB,4,ad.file,DSC_0675
SWB,4,ab.file,DSC_0707
PGR,3,ad.file,DSC_0711
PGR,3,ab.file,DSC_0712
RGR,4,ad.file,DSC_0713
RGR,4,ab.file,DSC_0714
SWB,6,ad.file,DSC_0715
SWB,6,ab.file,DSC_0716
SWB,11,ad.file,DSC_0717
SWB,11,ab.file,DSC_0718
SWB,3,ab.file,DSC_0719
SWB,3,ad.file,DSC_0720
SWB,13,ad.file,DSC_0721
SWB,13,ab.file,DSC_0722
SWB,1,ad.file,DSC_0723
SWB,1,ab.file,DSC_0724
RGR,8,ad.file,DSC_0725
RGR,8,ab.file,DSC_0726
SWB,10,ad.file,DSC_0727
SWB,10,ab.file,DSC_0728
PGR,2,ad.file,DSC_0729
PGR,2,ab.file,DSC_0730
SWB,12,ad.file,DSC_0731
PGR,8,ad.file,DSC_0734
PGR,8,ab.file,DSC_0735
SWB,12,ab.file,DSC_3732
